117.90.3.233,9000,HTTP
120.198.230.65,8080,HTTP
218.59.193.18,61071,HTTP
221.7.211.246,51864,HTTP
119.145.2.100,44129,HTTP
113.128.140.191,8118,HTTP
211.136.127.125,80,HTTP
115.218.217.241,9000,HTTP
119.254.94.71,61183,HTTP
223.100.166.3,36945,HTTP
180.118.134.156,9000,HTTP
115.223.230.66,9000,HTTP
183.147.28.186,9000,HTTP
49.70.209.158,9000,HTTP
115.218.217.81,9000,HTTP
221.178.176.25,3128,HTTP
114.249.113.126,9000,HTTP
183.196.170.247,9000,HTTP
163.125.16.194,8888,HTTP
183.196.168.194,9000,HTTP
58.243.50.184,53281,HTTP
222.16.83.18,80,HTTP
119.57.108.109,53281,HTTP
117.141.155.242,53281,HTTP
119.57.108.109,53281,HTTP
119.57.156.90,53281,HTTP
163.125.16.194,8888,HTTP
114.249.113.126,9000,HTTP
113.116.145.136,9000,HTTP
101.231.50.154,8000,HTTP
